Income ID,Date,Account ID,Amount
I202,2022-11-12,A018,2452.7061097351243
I203,2023-04-29,A039,2158.7916075106273
I204,2023-01-20,A060,977.7302845158235
I205,2023-06-07,A053,1797.9233907770913
I206,2023-04-23,A056,630.6102596451974
I207,2023-01-08,A005,846.3115466428515
I208,2023-02-17,A046,1925.8822327137143
I209,2023-03-24,A032,2015.9365270907874
I210,2023-05-06,A029,802.122733840434
I211,2022-08-23,A044,1656.7946250846937
I212,2022-10-15,A029,2292.867300211343
I213,2022-08-18,A025,549.5242319499021
I214,2023-07-14,A056,683.0667571359088
I215,2023-07-24,A013,1426.6866610783684
I216,2023-01-03,A006,702.5439250569725
I217,2022-10-02,A067,505.3093659414214
I218,2022-11-17,A019,1375.8490853811204
I219,2022-11-14,A056,703.1671805352466
I220,2022-12-24,A008,2452.8676846579574
I221,2022-09-27,A044,1190.967455177335
I222,2022-11-09,A049,1001.256210929645
I223,2022-08-29,A032,1279.3392696418969
I224,2023-07-14,A053,2377.4237189993
I225,2023-03-29,A012,1494.4586668696695
I226,2023-02-21,A037,833.6711252992188
I227,2023-06-05,A055,1805.3377015439078
I228,2023-04-14,A008,912.9839274856056
I229,2023-03-11,A035,2339.8268868964747
I230,2022-11-16,A002,1209.905556381591
I231,2022-08-02,A060,655.1668894415066
I232,2023-03-11,A003,2218.124890621072
I233,2023-07-05,A027,2168.125508040899
I234,2023-03-21,A061,907.5668726159577
I235,2023-07-11,A022,1608.9033539112165
I236,2023-06-05,A039,2397.9098411429386
I237,2023-06-14,A034,1462.861968156339
I238,2023-05-10,A014,650.1108688002719
I239,2022-08-08,A040,753.7102825358179
I240,2023-01-05,A028,1253.0766771421268
I241,2022-09-14,A046,534.1051427576645
I242,2023-05-29,A048,1568.6248001121257
I243,2023-03-27,A007,2260.0261778092217
I244,2022-10-11,A036,1777.8030008860167
I245,2023-01-24,A067,1346.2666557207772
I246,2023-01-30,A041,2256.0227010446624
I247,2023-05-13,A001,2270.1999198359376
I248,2023-01-23,A052,1813.0168368013894
I249,2023-03-29,A007,1748.8819752398006
I250,2023-05-23,A052,1651.0827167184493
I251,2023-01-09,A002,1000.8876432829998
I252,2022-08-23,A040,1197.5925271336973
I253,2023-06-11,A025,634.9439502254253
I254,2022-07-28,A037,1589.8981444820406
I255,2023-02-27,A014,1069.2959155893516
I256,2022-09-21,A002,514.1861012224156
I257,2022-10-10,A031,1437.098602646008
I258,2022-10-02,A008,900.3852040138858
I259,2023-05-13,A017,974.8094565611754
I260,2023-02-07,A027,1519.9758471829196
I261,2023-03-11,A022,1056.279262937614
I262,2022-12-17,A064,1688.6912689217438
I263,2023-07-03,A035,1160.090983872752
I264,2022-08-31,A067,1962.4175285202791
I265,2023-07-01,A044,1265.5722821049508
I266,2022-11-01,A029,2068.9998985179154
I267,2022-09-21,A021,755.399128032499
I268,2022-09-28,A028,690.8318691383195
I269,2023-03-06,A028,1888.6180900204365
I270,2022-08-13,A016,2047.3358902448788
I271,2022-10-23,A040,864.0038604951678
I272,2022-09-01,A023,1987.622257776685
I273,2023-01-26,A041,1946.7806663827123
I274,2023-05-25,A031,2136.1896126649926
I275,2022-12-09,A007,1294.684932565227
I276,2023-03-31,A020,1404.934161529252
I277,2023-01-04,A050,2285.801579173046
I278,2022-09-07,A017,576.7012514699488
I279,2023-03-04,A008,1615.4973088452778
I280,2023-07-21,A059,2274.8095034982325
I281,2022-10-28,A034,2148.774628914161
I282,2023-02-05,A034,1550.2590576798573
I283,2022-08-07,A040,1224.7987472154498
I284,2023-05-28,A008,2257.577225575137
I285,2023-04-11,A068,722.0467328363849
I286,2022-12-29,A048,715.0720702933266
I287,2023-04-16,A052,2365.8158117459175
I288,2023-02-19,A057,638.1034859334947
I289,2022-12-03,A049,1263.4183139559827
I290,2022-12-02,A025,1740.012457402883
I291,2023-06-17,A037,617.6925519267194
I292,2022-08-14,A036,592.8154692295509
I293,2022-09-19,A021,1133.2546379499586
I294,2022-12-13,A013,2305.300347288907
I295,2022-07-30,A058,2071.371254133418
I296,2022-10-25,A023,1656.2097433296472
I297,2023-06-14,A020,1372.416388832747
I298,2023-04-10,A007,1445.7149621038852
I299,2022-11-05,A070,1359.6200786474783
I300,2023-06-15,A031,982.997692628865
I301,2022-10-25,A069,902.213433102522
I302,2023-04-04,A041,1097.8041762234795
I303,2022-10-23,A014,1088.5046493131326
I304,2022-11-09,A033,2435.6424210022406
I305,2022-12-18,A001,1035.5063954336379
I306,2022-11-23,A006,1137.935679282368
I307,2022-08-18,A011,1884.6461369214878
I308,2023-07-22,A003,558.2763186606643
I309,2023-05-26,A048,2162.968848963111
I310,2022-10-06,A034,2033.148407860202
I311,2023-04-25,A041,1016.950951912365
I312,2023-06-06,A017,2009.4309160050393
I313,2023-02-12,A021,850.1976209883901
I314,2023-06-27,A045,1756.075465310644
I315,2022-09-02,A050,995.0658746904551
I316,2022-11-17,A018,1524.8531570359435
I317,2023-06-04,A020,1969.7535861495392
I318,2023-05-19,A043,1265.8035546341612
I319,2022-09-24,A046,1367.6299672298687
I320,2022-11-24,A063,1687.381417358866
I321,2023-01-20,A059,880.5750854756647
I322,2023-02-20,A033,1499.8841491142887
I323,2023-03-01,A066,1684.5482609019152
I324,2023-05-19,A040,1109.8596184090807
I325,2022-11-25,A067,702.033644060686
I326,2023-01-21,A069,674.9410326241541
I327,2022-08-01,A034,2072.4548391967564
I328,2023-07-13,A010,974.1849692412
I329,2023-07-17,A059,1428.764687668091
I330,2022-11-08,A056,2115.369576337809
I331,2023-02-14,A061,521.9055847403631
I332,2022-09-03,A009,1302.1447560827078
I333,2022-08-23,A035,1728.8743374926655
I334,2022-12-22,A052,636.9770459695469
I335,2022-08-05,A040,1952.449494172493
I336,2023-05-23,A056,1885.9566944105125
I337,2023-03-16,A030,2347.514366766627
I338,2022-10-09,A020,1990.2760208941963
I339,2023-06-01,A047,1941.7557331813546
I340,2022-09-05,A051,1955.9179831040096
I341,2023-02-17,A013,2159.8820490897274
I342,2022-11-29,A002,883.9860557078191
I343,2022-10-02,A010,1742.5847988924515
I344,2023-05-29,A017,506.3516544392677
I345,2022-12-07,A022,1750.3293928960306
I346,2023-05-31,A009,1392.5156625009834
I347,2023-06-16,A053,900.5024293350828
I348,2022-09-06,A008,1559.7500925513202
I349,2023-06-23,A052,1211.2715238476615
I350,2022-10-26,A038,2014.4912672389707
I351,2023-01-10,A037,2238.4153503153675
I352,2023-05-07,A045,765.3509939322339
I353,2022-08-04,A030,662.7206711329529
I354,2023-05-19,A035,2223.3995577862024
I355,2023-05-05,A029,1383.9487825103993
I356,2022-08-11,A003,554.6689936335288
I357,2022-10-18,A060,1007.9802788226984
I358,2023-01-16,A024,897.9275723701186
I359,2023-05-06,A037,870.330946478608
I360,2022-08-22,A044,1558.793845184949
I361,2022-07-29,A044,1704.6545402430115
I362,2022-11-16,A045,1494.7487773699202
I363,2023-07-25,A005,564.6257357579309
I364,2023-06-26,A064,2239.877401065817
I365,2022-11-05,A008,542.9773738302133
I366,2022-10-07,A037,732.361352790323
I367,2023-06-05,A014,2199.811683510075
I368,2023-07-02,A067,1443.0332896433722
I369,2023-02-15,A062,1257.0785896003217
I370,2023-05-20,A044,997.4736412879814
I371,2023-05-15,A023,2159.6475710750065
I372,2023-02-18,A063,1810.9185721537729
I373,2023-03-08,A014,1805.9997334102625
I374,2022-09-03,A058,2107.756221808412
I375,2023-05-13,A005,1434.305380187054
I376,2023-03-04,A062,1739.8450276283597
I377,2023-07-20,A005,1110.7526674454293
I378,2023-05-29,A006,2453.2597368076304
I379,2022-12-26,A038,1986.6911784877689
I380,2022-11-13,A023,1244.0048988529925
I381,2022-08-17,A020,1376.8015402821331
I382,2022-08-05,A008,1761.886947317341
I383,2023-01-18,A039,866.7804337750242
I384,2023-07-23,A038,1189.3975707209268
I385,2023-06-30,A070,1609.1680690073072
I386,2022-12-22,A022,1281.039792483473
I387,2023-02-04,A063,2016.9790402469405
I388,2022-09-29,A068,1958.6993191791112
I389,2022-08-20,A020,1868.4554030036097
I390,2023-05-23,A015,1835.155540057821
I391,2023-06-22,A042,2234.914165862777
I392,2022-09-09,A039,2473.542132461881
I393,2022-08-19,A042,2261.469771865286
I394,2023-06-03,A044,859.6565395274203
I395,2023-03-31,A009,1802.5417986688956
I396,2022-12-20,A051,1469.3581039974792
I397,2023-02-26,A046,524.402716032077
I398,2022-10-08,A021,2075.564159260315
I399,2022-12-18,A038,971.1873970936131
I400,2022-08-25,A013,1976.587372294252
I401,2022-09-16,A046,524.5709959063452
I402,2023-06-03,A053,1883.2461784527159
I403,2023-02-15,A035,2410.1984613357154
I404,2023-05-03,A032,1068.8986448087599
I405,2023-02-12,A066,2215.410555822373
I406,2022-12-19,A053,1532.7959577609129
I407,2023-05-01,A059,1795.2082171418738
I408,2023-04-28,A056,2435.4221818065553
I409,2022-09-30,A007,1674.2689563063277
I410,2022-09-30,A035,524.4602131510194
I411,2022-10-26,A005,2110.0639698578693
I412,2022-12-25,A043,2352.334677142687
I413,2023-06-07,A004,1072.6034390070313
I414,2022-09-04,A021,842.5922175308942
I415,2023-02-16,A021,2179.9135673590617
I416,2022-10-14,A059,1454.8415291710462
I417,2022-12-24,A030,1267.1501927494678
I418,2023-07-26,A011,983.5883060329165
I419,2022-08-07,A006,915.0226737584971
I420,2022-08-22,A031,502.1390800847414
I421,2023-07-12,A006,2021.7835481328948
I422,2022-12-02,A060,1931.7379555292446
I423,2023-06-17,A067,1329.0901311819007
I424,2023-07-16,A068,2498.2359528598327
I425,2023-03-29,A069,2131.5399019575025
I426,2023-07-28,A044,1032.6691669584911
I427,2022-09-06,A019,1616.3244551630214
I428,2023-07-27,A069,1962.0923500545994
I429,2023-06-25,A038,838.4042372523486
I430,2023-01-29,A069,1228.2974446777948
I431,2023-04-25,A068,2175.574615764838
I432,2023-04-17,A069,2111.4325885160815
I433,2022-10-11,A053,1538.5157150904338
I434,2023-01-19,A065,1653.3473733536628
I435,2023-04-25,A027,2278.1109443532728
I436,2023-05-08,A048,2065.3732941341873
I437,2023-05-10,A069,2365.6161835630915
I438,2022-08-18,A031,1234.3247493775034
I439,2023-05-25,A065,2431.438022975989
I440,2023-02-13,A027,2191.8174759712056
I441,2022-12-18,A002,979.115523743824
I442,2023-07-26,A009,1695.9047915142703
I443,2022-08-20,A036,2272.883914872378
I444,2022-09-04,A027,2444.3162171257864
I445,2023-03-15,A056,1644.5684995490683
I446,2022-10-10,A029,1037.4441252781319
I447,2023-04-22,A004,1831.8949551785747
I448,2023-03-30,A022,964.1178853236396
I449,2022-09-10,A066,1105.884970261465
I450,2023-01-12,A006,1507.347502226135
I451,2022-08-11,A031,552.6896236603889
I452,2023-05-03,A027,1954.5051717170995
I453,2023-05-07,A002,2109.9716257695145
I454,2022-10-23,A040,1178.425015728237
I455,2022-12-20,A024,766.4942033664506
I456,2022-12-13,A016,517.5609799334271
I457,2023-05-26,A059,1195.6122371975164
I458,2022-08-28,A007,1411.0904511119131
I459,2023-04-09,A018,1781.8815975651407
I460,2023-04-15,A061,2345.7517931275015
I461,2022-08-28,A052,2124.8851321622265
I462,2023-03-06,A055,2305.1914254324374
I463,2022-11-07,A052,1976.9458938905814
I464,2022-11-06,A049,2019.1080053472206
I465,2023-07-05,A030,1241.260755959718
I466,2023-01-20,A067,1887.792556390392
I467,2023-01-05,A037,1212.0208373103987
I468,2022-09-22,A063,2222.0096788353703
I469,2023-06-12,A008,992.1696767704987
I470,2022-11-30,A029,911.289663416621
I471,2022-11-24,A067,2195.168709364213
I472,2023-05-07,A034,2103.539928514647
I473,2022-12-25,A050,2475.5021227264924
I474,2023-02-28,A016,1958.1873203579762
I475,2022-08-22,A062,700.6771854292375
I476,2023-04-24,A019,1841.1409099943758
I477,2023-02-26,A020,808.0104089820018
I478,2022-09-21,A053,1533.453454582012
I479,2023-04-06,A020,1797.7260578240473
I480,2023-07-02,A010,1794.2529958389114
I481,2022-10-01,A042,938.6045275896222
I482,2022-12-18,A040,1120.6265643615607
I483,2022-09-20,A002,1868.1906430106667
I484,2023-01-30,A038,1433.1060238839268
I485,2023-06-01,A003,1345.35785590792
I486,2023-05-10,A025,943.727706936595
I487,2023-01-10,A058,2230.8700502630195
I488,2023-05-27,A041,2140.383639602169
I489,2023-06-08,A041,2368.1692099976035
I490,2023-01-04,A057,825.920945133741
I491,2023-01-13,A041,1169.6054658665275
I492,2022-11-08,A020,764.1565441700684
I493,2023-02-05,A043,1254.9708502766935
I494,2023-02-01,A066,689.688651158173
I495,2023-03-14,A042,1388.816984328288
I496,2022-10-09,A058,1885.8051633193131
I497,2023-01-30,A005,550.1598862271649
I498,2023-03-20,A014,686.5504745186292
I499,2023-06-28,A046,1505.4067668318448
I500,2022-08-22,A010,570.847690695151
